COMPANY_NAME,SERVICE,TRIGGER,ERR_TYPE,ERR_MESSAGE
Circle K,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Circle K,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
CKE Restaurants,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
CKE Restaurants,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
CKE Restaurants,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
CKE Restaurants,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Conn's,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Conn's,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
CorePower Yoga,HOMEPAGE_SERVICE,HomepageService,homepage_content_not_found,Homepage content not found
CorePower Yoga,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
CorePower Yoga,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
CorePower Yoga,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
CorePower Yoga,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Cracker Barrel,URL_SCRAPING_SERVICE,scrape_company_url,OpenURI,"Exception for: open_uri, company: Cracker Barrel, url: , 403 Forbidden "
Cracker Barrel,HOMEPAGE_SERVICE,HomepageService,homepage_content_not_found,Homepage content not found
Cracker Barrel,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Cracker Barrel,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Cracker Barrel,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Cracker Barrel,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Darden Restaurants,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Darden Restaurants,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
David Yurman,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
David Yurman,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
David Yurman,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic javascript:void(0);> "
David's Bridal,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: David's Bridal, url: , bad URI(is not URI?):  https://www.prnewswire.com/news-releases/davids-bridal-announces-launch-of-new-youtube-live-channel-with-247-wedding-videos-301287993.html  "
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic > "
David's Bridal,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: David's Bridal, url: , bad URI(is not URI?):   https://www.prnewswire.com/news-releases/davids-bridal-closes-new-70-million-capital-investment-from-cpp-investments-301282417.html  "
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic > "
David's Bridal,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: David's Bridal, url: , bad URI(is not URI?):  https://www.prnewswire.com/news-releases/davids-bridal-debuts-the-launch-of-first-ever-exclusive-quinceanera-label-fifteen-roses-301277280.html  "
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic > "
